"Brug af internet til private formål - procent af befolkningen (16-74"
"år) efter type, formål og tid"

" "," ","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012"
"I alt"
" ","Sende/modtage e-mail",94,95,96,94,94,94,93,..,90,88,86
" ","Søge infomation om varer mv.",90,85,90,85,88,79,86,77,84,82,82
" ","Services ifm. rejser mv",..,..,..,..,..,58,65,66,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,47,..
" ","Læse/downloade nyheder",86,85,86,82,..,84,70,66,71,70,73
" ","Jobsøgning",..,36,..,37,..,24,..,..,..,22,..
" ","Søge helbredsmæssig information",71,75,72,67,66,64,65,66,..,54,..
" ","Internetbank",94,95,94,91,89,90,88,85,84,83,79
" ","Salg af varer/tjenester",32,34,31,28,30,29,35,37,26,24,24
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,41,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,6,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,56,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,91,89,89,90,87,85,86,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",39,38,39,47,46,51,53,52,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,68,68,74,73,71,71,69,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",19,21,..,20,..,24,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",13,12,..,15,..,14,..,..,..,..,..
" ","Brugt sociale netværkstjenester",85,85,85,81,79,76,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,30,..,..,..,..,..
" ","Taget online kursus",15,22,17,12,..,9,..,..,..,..,..
" ","Brugt e-learning materiale",36,33,39,..,..,14,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",22,..,23,14,..,12,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",50,..,60,52,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",78,..,75,71,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",87,88,87,77,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",73,73,70,56,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,36,23,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",18,..,17,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",11,..,8,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",9,..,13,..,..,7,..,..,..,..,..
" ","Lytter til podcast uanset emne",44,..,40,..,..,..,..,..,..,..,..
"Alder: 16-19 år"
" ","Sende/modtage e-mail",95,96,94,97,95,92,97,..,90,89,94
" ","Søge infomation om varer mv.",93,79,84,85,91,78,87,78,87,84,88
" ","Services ifm. rejser mv",..,..,..,..,..,38,41,44,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,57,..
" ","Læse/downloade nyheder",88,74,88,81,..,86,63,62,66,60,76
" ","Jobsøgning",..,42,..,38,..,29,..,..,..,27,..
" ","Søge helbredsmæssig information",72,71,68,65,66,62,64,68,..,52,..
" ","Internetbank",96,91,90,89,72,74,77,77,71,70,65
" ","Salg af varer/tjenester",24,26,21,15,19,29,32,35,20,23,22
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,66,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,6,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,88,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,81,75,76,84,73,71,71,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",22,13,14,17,18,18,22,18,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,41,49,56,57,50,52,46,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",21,21,..,19,..,21,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",13,13,..,18,..,19,..,..,..,..,..
" ","Brugt sociale netværkstjenester",98,97,96,99,99,99,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,14,..,..,..,..,..
" ","Taget online kursus",10,17,15,11,..,6,..,..,..,..,..
" ","Brugt e-learning materiale",58,43,68,..,..,20,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",40,..,77,38,..,28,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",68,..,70,67,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",95,..,99,95,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",97,98,97,99,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",93,90,96,83,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,46,22,..,..,..,..,..,..,..
