Type;Kategori;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
I alt;Sende/modtage e-mail;94;95;96;94;94;94;93;..;90;88;86
I alt;Søge infomation om varer mv.;90;85;90;85;88;79;86;77;84;82;82
I alt;Services ifm. rejser mv;..;..;..;..;..;58;65;66;..;..;..
I alt;Downloade software;..;..;..;..;..;..;..;..;..;47;..
I alt;Læse/downloade nyheder;86;85;86;82;..;84;70;66;71;70;73
I alt;Jobsøgning;..;36;..;37;..;24;..;..;..;22;..
I alt;Søge helbredsmæssig information;71;75;72;67;66;64;65;66;..;54;..
I alt;Internetbank;94;95;94;91;89;90;88;85;84;83;79
I alt;Salg af varer/tjenester;32;34;31;28;30;29;35;37;26;24;24
I alt;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;41;..
I alt;Følge online kursus;..;..;..;..;..;..;..;..;..;6;..
I alt;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;56;..
I alt;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
I alt;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;91;89;89;90;87;85;86;..;..;..
I alt;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;39;38;39;47;46;51;53;52;..;..;..
I alt;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;68;68;74;73;71;71;69;..;..;..
I alt;Delt/udtrykt egne holdinger på nettet;19;21;..;20;..;24;..;..;..;..;..
I alt;Deltaget i online høringer/afstemninger;13;12;..;15;..;14;..;..;..;..;..
I alt;Brugt sociale netværkstjenester;85;85;85;81;79;76;..;..;..;..;..
I alt;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;30;..;..;..;..;..
I alt;Taget online kursus;15;22;17;12;..;9;..;..;..;..;..
I alt;Brugt e-learning materiale;36;33;39;..;..;14;..;..;..;..;..
I alt;Kommunikeret med underviser/elev på websider/portaler;22;..;23;14;..;12;..;..;..;..;..
I alt;Delt egne billeder, tekst, videoer, musik eller software;50;..;60;52;..;..;..;..;..;..;..
I alt;Lyttet til musik via webradio eller streamingstjeneste;78;..;75;71;..;..;..;..;..;..;..
I alt;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;87;88;87;77;..;..;..;..;..;..;..
I alt;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;73;73;70;56;..;..;..;..;..;..;..
I alt;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;36;23;..;..;..;..;..;..;..
I alt;Brug af apps til at mindske madspild;18;..;17;..;..;..;..;..;..;..;..
I alt;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;11;..;8;..;..;..;..;..;..;..;..
I alt;Brug af dating apps eller hjemmesider;9;..;13;..;..;7;..;..;..;..;..
I alt;Lytter til podcast uanset emne;44;..;40;..;..;..;..;..;..;..;..
Alder: 16-19 år;Sende/modtage e-mail;95;96;94;97;95;92;97;..;90;89;94
Alder: 16-19 år;Søge infomation om varer mv.;93;79;84;85;91;78;87;78;87;84;88
Alder: 16-19 år;Services ifm. rejser mv;..;..;..;..;..;38;41;44;..;..;..
Alder: 16-19 år;Downloade software;..;..;..;..;..;..;..;..;..;57;..
Alder: 16-19 år;Læse/downloade nyheder;88;74;88;81;..;86;63;62;66;60;76
Alder: 16-19 år;Jobsøgning;..;42;..;38;..;29;..;..;..;27;..
Alder: 16-19 år;Søge helbredsmæssig information;72;71;68;65;66;62;64;68;..;52;..
Alder: 16-19 år;Internetbank;96;91;90;89;72;74;77;77;71;70;65
Alder: 16-19 år;Salg af varer/tjenester;24;26;21;15;19;29;32;35;20;23;22
Alder: 16-19 år;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;66;..
Alder: 16-19 år;Følge online kursus;..;..;..;..;..;..;..;..;..;6;..
Alder: 16-19 år;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;88;..
Alder: 16-19 år;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Alder: 16-19 år;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;81;75;76;84;73;71;71;..;..;..
Alder: 16-19 år;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;22;13;14;17;18;18;22;18;..;..;..
Alder: 16-19 år;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;41;49;56;57;50;52;46;..;..;..
Alder: 16-19 år;Delt/udtrykt egne holdinger på nettet;21;21;..;19;..;21;..;..;..;..;..
Alder: 16-19 år;Deltaget i online høringer/afstemninger;13;13;..;18;..;19;..;..;..;..;..
Alder: 16-19 år;Brugt sociale netværkstjenester;98;97;96;99;99;99;..;..;..;..;..
Alder: 16-19 år;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;14;..;..;..;..;..
Alder: 16-19 år;Taget online kursus;10;17;15;11;..;6;..;..;..;..;..
Alder: 16-19 år;Brugt e-learning materiale;58;43;68;..;..;20;..;..;..;..;..
Alder: 16-19 år;Kommunikeret med underviser/elev på websider/portaler;40;..;77;38;..;28;..;..;..;..;..
Alder: 16-19 år;Delt egne billeder, tekst, videoer, musik eller software;68;..;70;67;..;..;..;..;..;..;..
Alder: 16-19 år;Lyttet til musik via webradio eller streamingstjeneste;95;..;99;95;..;..;..;..;..;..;..
Alder: 16-19 år;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;97;98;97;99;..;..;..;..;..;..;..
Alder: 16-19 år;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;93;90;96;83;..;..;..;..;..;..;..
Alder: 16-19 år;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;46;22;..;..;..;..;..;..;..
Alder: 16-19 år;Brug af apps til at mindske madspild;22;..;15;..;..;..;..;..;..;..;..
Alder: 16-19 år;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;10;..;8;..;..;..;..;..;..;..;..
Alder: 16-19 år;Brug af dating apps eller hjemmesider;15;..;16;..;..;12;..;..;..;..;..
Alder: 16-19 år;Lytter til podcast uanset emne;56;..;56;..;..;..;..;..;..;..;..
Alder: 20-39 år;Sende/modtage e-mail;96;97;99;96;97;97;97;..;95;95;97
Alder: 20-39 år;Søge infomation om varer mv.;92;90;94;90;93;87;92;84;90;91;93
